Entity,Code,Year,"Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages"
Belarus,BLR,1993,9.06519
Belarus,BLR,1994,8.320303
Belarus,BLR,1995,10.132611
Belarus,BLR,1996,9.296339
Belarus,BLR,1997,11.1415205
Belarus,BLR,1998,10.713127
Belarus,BLR,1999,12.560207
Belarus,BLR,2000,9.8695345
Belarus,BLR,2001,9.097575
Belarus,BLR,2018,6.899299
Belgium,BEL,1954,28.830376
Belgium,BEL,1955,41.018665
Belgium,BEL,1956,30.114851
Belgium,BEL,1957,38.370564
Belgium,BEL,1958,29.07204
Belgium,BEL,1959,25.290792
Belgium,BEL,1960,46.802895
Belgium,BEL,1961,20.034433
Belgium,BEL,1962,27.455084
Belgium,BEL,1963,34.234497
Belgium,BEL,1964,20.508558
Belgium,BEL,1965,23.281847
Belgium,BEL,1966,25.91651
Belgium,BEL,1967,20.377846
Belgium,BEL,1968,33.806595
Belgium,BEL,1969,31.253244
Belgium,BEL,1970,31.742157
Belgium,BEL,1971,23.398521
Belgium,BEL,1972,22.03471
Belgium,BEL,1973,27.77217
Belgium,BEL,1974,20.940134
Belgium,BEL,1975,25.367353
Belgium,BEL,1976,26.433199
Belgium,BEL,1977,17.321133
Belgium,BEL,1978,21.549578
Belgium,BEL,1979,14.475824
Belgium,BEL,1980,16.441025
Belgium,BEL,1981,15.507007
Belgium,BEL,1982,17.343279
Belgium,BEL,1983,19.944557
Belgium,BEL,1984,16.857601
Belgium,BEL,1985,14.671368
Belgium,BEL,1986,18.059074
Belgium,BEL,1987,12.6003275
Belgium,BEL,1988,13.50426
Belgium,BEL,1989,17.49776
Belgium,BEL,1990,16.090675
Belgium,BEL,1991,13.476875
Belgium,BEL,1992,14.95239
Belgium,BEL,1993,14.579267
Belgium,BEL,1994,13.204352
Belgium,BEL,1995,13.404882
Belgium,BEL,1996,16.091692
Belgium,BEL,1997,16.445387
Belgium,BEL,1998,19.712025
Belgium,BEL,1999,19.157791
Belgium,BEL,2000,21.121534
Belgium,BEL,2001,17.75585
Belgium,BEL,2002,19.424107
Belgium,BEL,2003,20.862383
Belgium,BEL,2004,17.205225
Belgium,BEL,2005,18.946339
Belgium,BEL,2006,16.65879
Belgium,BEL,2007,15.437003
Belgium,BEL,2008,15.629897
Belgium,BEL,2009,15.178411
Belgium,BEL,2010,14.008849
Belgium,BEL,2011,12.937267
Belgium,BEL,2012,13.282139
Belgium,BEL,2013,13.995347
Belgium,BEL,2014,11.949335
Belgium,BEL,2018,16.541603
Belgium,BEL,2017,14.683436
Belgium,BEL,2016,13.394021
Belgium,BEL,2015,14.5687685
Belize,BLZ,1964,40.011032
Belize,BLZ,1965,69.29468
Belize,BLZ,1966,85.61714
Belize,BLZ,1967,81.7754
Belize,BLZ,1968,72.710106
Belize,BLZ,1969,63.87443
Belize,BLZ,1970,50.498318
Belize,BLZ,1971,38.244267
Belize,BLZ,1972,48.16461
Belize,BLZ,1973,43.92326
Belize,BLZ,1974,43.44385
Belize,BLZ,1975,31.473763
Belize,BLZ,1976,64.00571
Belize,BLZ,1977,34.116096
Belize,BLZ,1978,65.07309
Belize,BLZ,1979,25.929333
Belize,BLZ,1980,94.86324
Belize,BLZ,1982,41.25003
Belize,BLZ,1983,75.24768
Belize,BLZ,1984,56.77213
Belize,BLZ,1986,58.13474
Belize,BLZ,1987,69.00295
Belize,BLZ,1989,37.45962
Belize,BLZ,1990,18.654802
Belize,BLZ,1991,38.52907
Belize,BLZ,1993,56.582653
Belize,BLZ,1994,23.264198
Belize,BLZ,1995,53.850445
Belize,BLZ,1996,46.85983
Belize,BLZ,1997,59.81161
Belize,BLZ,1998,46.328617
Belize,BLZ,1999,41.17668
Belize,BLZ,2000,51.554783
Belize,BLZ,2001,51.97521
Belize,BLZ,2002,50.647564
Belize,BLZ,2003,63.780003
Belize,BLZ,2004,56.882057
Belize,BLZ,2005,48.26682
Belize,BLZ,2006,47.196804
Belize,BLZ,2007,43.48706
Belize,BLZ,2008,40.118584
Belize,BLZ,2009,46.36078
Belize,BLZ,2010,40.357903
Belize,BLZ,2011,48.875645
Belize,BLZ,2012,33.263077
Belize,BLZ,2013,39.08157
Belize,BLZ,2014,33.120674
Belize,BLZ,2016,25.070015
Belize,BLZ,2015,40.0406
Bosnia and Herzegovina,BIH,1985,16.867
Bosnia and Herzegovina,BIH,1986,15.016823
Bosnia and Herzegovina,BIH,1987,14.667633
Bosnia and Herzegovina,BIH,1988,12.30441
Bosnia and Herzegovina,BIH,1989,13.550678
Bosnia and Herzegovina,BIH,1990,11.397682
Bosnia and Herzegovina,BIH,1991,7.3916106
Bosnia and Herzegovina,BIH,2011,3.4642088
Bosnia and Herzegovina,BIH,2014,2.6812687
Bosnia and Herzegovina,BIH,2020,82.19196
Bosnia and Herzegovina,BIH,2019,10.25223
Bosnia and Herzegovina,BIH,2018,8.017361
Bosnia and Herzegovina,BIH,2017,7.4222236
Bosnia and Herzegovina,BIH,2016,6.488794
Brazil,BRA,1979,36.41477
Brazil,BRA,1980,36.936012
Brazil,BRA,1981,35.22197
Brazil,BRA,1982,33.764076
Brazil,BRA,1983,33.669724
Brazil,BRA,1984,36.03185
Brazil,BRA,1985,34.74056
Brazil,BRA,1986,36.26517
Brazil,BRA,1987,32.88625
Brazil,BRA,1988,37.452717
Brazil,BRA,1989,33.19772
Brazil,BRA,1990,36.47968
Brazil,BRA,1991,30.204857
Brazil,BRA,1992,31.774511
Brazil,BRA,1993,35.720093
Brazil,BRA,1994,35.449883
Brazil,BRA,1995,33.885548
Brazil,BRA,1996,32.26626
Brazil,BRA,1997,27.901737
Brazil,BRA,1998,29.26298
Brazil,BRA,1999,26.69484
Brazil,BRA,2000,25.872196
Brazil,BRA,2001,25.731365
Brazil,BRA,2002,27.04985
Brazil,BRA,2003,27.452917
Brazil,BRA,2004,29.153118
Brazil,BRA,2005,27.259872
Brazil,BRA,2006,30.648817
Brazil,BRA,2007,30.815077
Brazil,BRA,2008,30.36587
Brazil,BRA,2009,33.951767
Brazil,BRA,2010,34.088142
